Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m
0,2015-10-01 00:00:00,0.000000000,0.881287270,0.085039292
1,2015-10-01 01:00:00,0.000000000,0.881287270,0.085039292
2,2015-10-01 02:00:00,0.000000000,0.881287270,0.085039292
3,2015-10-01 03:00:00,0.000000000,0.881287270,0.085039292
4,2015-10-01 04:00:00,0.000000000,0.881287270,0.085039292
5,2015-10-01 05:00:00,0.000000000,0.881287270,0.085039292
6,2015-10-01 06:00:00,0.000000000,0.881287270,0.085039292
7,2015-10-01 07:00:00,0.000000000,0.881287270,0.085039292
8,2015-10-01 08:00:00,0.000000000,0.881287270,0.085039292
9,2015-10-01 09:00:00,0.000000000,0.881287270,0.085039292
10,2015-10-01 10:00:00,0.000000000,0.881287270,0.085039292
11,2015-10-01 11:00:00,0.000000000,0.881287270,0.085039292
12,2015-10-01 12:00:00,0.000000000,0.881287270,0.085039292
13,2015-10-01 13:00:00,0.000000000,0.881287270,0.085039292
14,2015-10-01 14:00:00,0.000000000,0.881287270,0.085039292
15,2015-10-01 15:00:00,0.000000000,0.881287270,0.085039292
16,2015-10-01 16:00:00,0.000000000,0.881287270,0.085039292
17,2015-10-01 17:00:00,0.000000000,0.881287270,0.085039292
18,2015-10-01 18:00:00,0.000000000,0.881287270,0.085039292
19,2015-10-01 19:00:00,0.000000000,0.881287270,0.085039292
20,2015-10-01 20:00:00,0.000000000,0.881287270,0.085039292
21,2015-10-01 21:00:00,0.000000000,0.881287270,0.085039292
22,2015-10-01 22:00:00,0.000000000,0.881214220,0.085039846
23,2015-10-01 23:00:00,0.000000000,0.879571936,0.085052316
24,2015-10-02 00:00:00,0.000000000,0.879571936,0.085052316
25,2015-10-02 01:00:00,0.000000000,0.879414887,0.085053511
26,2015-10-02 02:00:00,0.000000000,0.858664076,0.085215906
27,2015-10-02 03:00:00,0.000000000,0.858664076,0.085215906
28,2015-10-02 04:00:00,0.000000000,0.858664076,0.085215906
29,2015-10-02 05:00:00,0.000000000,0.858664076,0.085215906
30,2015-10-02 06:00:00,0.000000000,0.858664076,0.085215906
31,2015-10-02 07:00:00,0.000000000,0.858664076,0.085215906
32,2015-10-02 08:00:00,0.000000000,0.858664076,0.085215906
33,2015-10-02 09:00:00,0.000000000,0.858664076,0.085215906
34,2015-10-02 10:00:00,0.000000000,0.858664076,0.085215906
35,2015-10-02 11:00:00,0.000000000,0.858664076,0.085215906
36,2015-10-02 12:00:00,0.000000000,0.858664076,0.085215906
37,2015-10-02 13:00:00,0.000000000,0.858664076,0.085215906
38,2015-10-02 14:00:00,0.000000000,0.858664076,0.085215906
39,2015-10-02 15:00:00,0.000000000,0.854690176,0.085248051
40,2015-10-02 16:00:00,0.000000000,0.837452335,0.085391603
41,2015-10-02 17:00:00,0.000000000,0.827152825,0.085480711
42,2015-10-02 18:00:00,0.000000000,0.821126550,0.085534061
43,2015-10-02 19:00:00,0.000000000,0.808079112,0.085652769
44,2015-10-02 20:00:00,0.000000000,0.784940658,0.085874737
45,2015-10-02 21:00:00,0.000000000,0.775582985,0.085968954
46,2015-10-02 22:00:00,0.000000000,0.773084747,0.085994565
47,2015-10-02 23:00:00,0.000000000,0.759883621,0.086133215
48,2015-10-03 00:00:00,0.000000000,0.756377996,0.086171002
49,2015-10-03 01:00:00,0.000000000,0.755711071,0.086178238
50,2015-10-03 02:00:00,0.000000000,0.755711071,0.086178238
51,2015-10-03 03:00:00,0.000000000,0.755620546,0.086179221
52,2015-10-03 04:00:00,0.000000000,0.752664789,0.086211483
53,2015-10-03 05:00:00,0.000000000,0.748944865,0.086252517
54,2015-10-03 06:00:00,0.000000000,0.746293203,0.086282066
55,2015-10-03 07:00:00,0.000000000,0.746293203,0.086282066
56,2015-10-03 08:00:00,0.000000000,0.746293203,0.086282066
57,2015-10-03 09:00:00,0.000000000,0.746293203,0.086282066
58,2015-10-03 10:00:00,0.000000000,0.746293203,0.086282066
59,2015-10-03 11:00:00,0.000000000,0.745914479,0.086286306
60,2015-10-03 12:00:00,0.000000000,0.745914479,0.086286306
61,2015-10-03 13:00:00,0.000000000,0.745914479,0.086286306
62,2015-10-03 14:00:00,0.000000000,0.745914479,0.086286306
63,2015-10-03 15:00:00,0.000000000,0.745914479,0.086286306
64,2015-10-03 16:00:00,0.000000000,0.745914479,0.086286306
65,2015-10-03 17:00:00,0.000000000,0.745914479,0.086286306
66,2015-10-03 18:00:00,0.000000000,0.745914479,0.086286306
67,2015-10-03 19:00:00,0.000000000,0.745914479,0.086286306
68,2015-10-03 20:00:00,0.000000000,0.745914479,0.086286306
69,2015-10-03 21:00:00,0.000000000,0.745914479,0.086286306
70,2015-10-03 22:00:00,0.000000000,0.745914479,0.086286306
71,2015-10-03 23:00:00,0.000000000,0.745914479,0.086286306
72,2015-10-04 00:00:00,0.000000000,0.745914479,0.086286306
73,2015-10-04 01:00:00,0.000000000,0.745914479,0.086286306
74,2015-10-04 02:00:00,0.000000000,0.745914479,0.086286306
75,2015-10-04 03:00:00,0.000000000,0.745914479,0.086286306
76,2015-10-04 04:00:00,0.000000000,0.745914479,0.086286306
77,2015-10-04 05:00:00,0.000000000,0.745914479,0.086286306
78,2015-10-04 06:00:00,0.000000000,0.745914479,0.086286306
79,2015-10-04 07:00:00,0.000000000,0.745914479,0.086286306
80,2015-10-04 08:00:00,0.000000000,0.745914479,0.086286306
81,2015-10-04 09:00:00,0.000000000,0.745914479,0.086286306
82,2015-10-04 10:00:00,0.000000000,0.745914479,0.086286306
83,2015-10-04 11:00:00,0.000000000,0.745914479,0.086286306
84,2015-10-04 12:00:00,0.000000000,0.745914479,0.086286306
85,2015-10-04 13:00:00,0.000000000,0.745914479,0.086286306
86,2015-10-04 14:00:00,0.000000000,0.745914479,0.086286306
87,2015-10-04 15:00:00,0.000000000,0.745914479,0.086286306
88,2015-10-04 16:00:00,0.000000000,0.745914479,0.086286306
89,2015-10-04 17:00:00,0.000000000,0.745914479,0.086286306
90,2015-10-04 18:00:00,0.000000000,0.745914479,0.086286306
91,2015-10-04 19:00:00,0.000000000,0.745914479,0.086286306
92,2015-10-04 20:00:00,0.000000000,0.745914479,0.086286306
93,2015-10-04 21:00:00,0.000000000,0.745914479,0.086286306
94,2015-10-04 22:00:00,0.000000000,0.745914479,0.086286306
95,2015-10-04 23:00:00,0.000000000,0.745914479,0.086286306
96,2015-10-05 00:00:00,0.000000000,0.745914479,0.086286306
97,2015-10-05 01:00:00,0.000000000,0.745914479,0.086286306
98,2015-10-05 02:00:00,0.000000000,0.745914479,0.086286306
99,2015-10-05 03:00:00,0.000000000,0.745914479,0.086286306
100,2015-10-05 04:00:00,0.000000000,0.745914479,0.086286306
101,2015-10-05 05:00:00,0.000000000,0.745914479,0.086286306
102,2015-10-05 06:00:00,0.000000000,0.745914479,0.086286306
103,2015-10-05 07:00:00,0.000000000,0.745914479,0.086286306
104,2015-10-05 08:00:00,0.000000000,0.745914479,0.086286306
105,2015-10-05 09:00:00,0.000000000,0.745914479,0.086286306
106,2015-10-05 10:00:00,0.000000000,0.745914479,0.086286306
107,2015-10-05 11:00:00,0.000000000,0.745914479,0.086286306
108,2015-10-05 12:00:00,0.000000000,0.745914479,0.086286306
109,2015-10-05 13:00:00,0.000000000,0.745914479,0.086286306
110,2015-10-05 14:00:00,0.000000000,0.745914479,0.086286306
111,2015-10-05 15:00:00,0.000000000,0.745914479,0.086286306
112,2015-10-05 16:00:00,0.000000000,0.745914479,0.086286306
113,2015-10-05 17:00:00,0.000000000,0.745914479,0.086286306
114,2015-10-05 18:00:00,0.000000000,0.745914479,0.086286306
115,2015-10-05 19:00:00,0.000000000,0.745914479,0.086286306
116,2015-10-05 20:00:00,0.000000000,0.745914479,0.086286306
117,2015-10-05 21:00:00,0.000000000,0.745914479,0.086286306
118,2015-10-05 22:00:00,0.000000000,0.745914479,0.086286306
119,2015-10-05 23:00:00,0.000000000,0.745914479,0.086286306
120,2015-10-06 00:00:00,0.000000000,0.745914479,0.086286306
121,2015-10-06 01:00:00,0.000000000,0.745914479,0.086286306
122,2015-10-06 02:00:00,0.000000000,0.745914479,0.086286306
123,2015-10-06 03:00:00,0.000000000,0.745914479,0.086286306
124,2015-10-06 04:00:00,0.000000000,0.745914479,0.086286306
125,2015-10-06 05:00:00,0.000000000,0.745914479,0.086286306
126,2015-10-06 06:00:00,0.000000000,0.745914479,0.086286306
127,2015-10-06 07:00:00,0.000000000,0.745914479,0.086286306
128,2015-10-06 08:00:00,0.000000000,0.745914479,0.086286306
129,2015-10-06 09:00:00,0.000000000,0.745914479,0.086286306
130,2015-10-06 10:00:00,0.000000000,0.745914479,0.086286306
131,2015-10-06 11:00:00,0.000000000,0.745914479,0.086286306
132,2015-10-06 12:00:00,0.000000000,0.745914479,0.086286306
133,2015-10-06 13:00:00,0.000000000,0.745914479,0.086286306
134,2015-10-06 14:00:00,0.000000000,0.745914479,0.086286306
135,2015-10-06 15:00:00,0.000000000,0.745914479,0.086286306
136,2015-10-06 16:00:00,0.000000000,0.745914479,0.086286306
137,2015-10-06 17:00:00,0.000000000,0.745914479,0.086286306
138,2015-10-06 18:00:00,0.000000000,0.745914479,0.086286306
139,2015-10-06 19:00:00,0.000000000,0.745914479,0.086286306
140,2015-10-06 20:00:00,0.000000000,0.745914479,0.086286306
141,2015-10-06 21:00:00,0.000000000,0.745914479,0.086286306
142,2015-10-06 22:00:00,0.000000000,0.745914479,0.086286306
143,2015-10-06 23:00:00,0.000000000,0.745914479,0.086286306
144,2015-10-07 00:00:00,0.000000000,0.745914479,0.086286306
145,2015-10-07 01:00:00,0.000000000,0.745914479,0.086286306
146,2015-10-07 02:00:00,0.000000000,0.745914479,0.086286306
147,2015-10-07 03:00:00,0.000000000,0.745914479,0.086286306
148,2015-10-07 04:00:00,0.000000000,0.745914479,0.086286306
149,2015-10-07 05:00:00,0.000000000,0.745914479,0.086286306
150,2015-10-07 06:00:00,0.000000000,0.745914479,0.086286306
151,2015-10-07 07:00:00,0.000000000,0.745914479,0.086286306
152,2015-10-07 08:00:00,0.000000000,0.745914479,0.086286306
153,2015-10-07 09:00:00,0.000000000,0.745914479,0.086286306
154,2015-10-07 10:00:00,0.000000000,0.745914479,0.086286306
155,2015-10-07 11:00:00,0.000000000,0.745914479,0.086286306
156,2015-10-07 12:00:00,0.000000000,0.745914479,0.086286306
157,2015-10-07 13:00:00,0.000000000,0.745914479,0.086286306
158,2015-10-07 14:00:00,0.000000000,0.745914479,0.086286306
159,2015-10-07 15:00:00,0.000000000,0.745914479,0.086286306
160,2015-10-07 16:00:00,0.000000000,0.745914479,0.086286306
161,2015-10-07 17:00:00,0.000000000,0.745914479,0.086286306
162,2015-10-07 18:00:00,0.000000000,0.745914479,0.086286306
163,2015-10-07 19:00:00,0.000000000,0.745914479,0.086286306
