gage,gagedFlowline,NHDWaterbodyComID,lakeLink,SiteName,RFC
SHDP1,12999322,12996298,12999322,Shenango Dam Tailwater at Shenango River,OHRFC
TNTP1,10222062,10922417,10222062,Tionesta Dam Pool at Tionesta Creek,OHRFC
KNZP1,8975668,166899002,0,Kinzua Dam on Allegheny River other Central PA Dams,OHRFC
GHDP1,6874115,6873355,6874143, ,OHRFC
BCHP1,8139444,120053440,8139718,Blanchard at Bald Eagle Creek,MARFC
STVC3,7718288,120052268,7718286, ,NERFC
SCIR1,6129639,6127281,6130387,Scituate Reservoir,NERFC
GBRN6,3247596,3247342,3247596,Gilboa Dam at Schoharie Creek,NERFC
DWNN6,1748727,1748473,1748773, ,MARFC
CNNN6,2614136,2613174,2614136, ,MARFC
GBFW4,18312556,18352167,18355239, ,CBRFC
LOSO3,23923436,23927716,23923436,Lost Creek Lake other Rogue River,NWRFC
BNGM1,3319220,3318110,3319188, ,NERFC
DRBI1,24158991,24161747,24158993, ,NWRFC
SCOO3,23805106,23807386,23805110,Reservoir at Henry Hagg Lake,NWRFC
HAHW1,23977690,23979340,23977692, ,NWRFC
BMDC2,3254269,3252975,0,BLUE MESA DAM NEAR GUNNISON,CBRFC
MYSU1,10814786,10814778,10815916,Marysvale near Sevier River,CBRFC
OCEU1,10806037,120051930,0,OTTER CREEK RESERVOIR- ANTIMONY- NR,CBRFC
KNFC1,348545,347987,349887, ,CNRFC
NHGC1,17068300,17065952,0,NEW HOGAN LAKE (NEW HOGAN DAM),CNRFC
CMCC1,3953573,3950979,0,Lake Camanche (CMCC1),CNRFC
EPRC1,7994771,7993809,7996275, ,CNRFC
SGEC1,7993205,7990259,7993205,STONY GORGE RESERVOIR NEAR ELK CREEK,CNRFC
BLBC1,7992981,7989989,0,STONY CREEK AT BLACK BUTTE DAM NEAR ORLAND,CNRFC
ORDC1,2778598,12076080,0,Lake Oroville (ORDC1),CNRFC
CFWC1,15013989,15012277,0,BEAR RIVER AT CAMP FAR WEST DAM NEAR NEAR WHEATLAND 6E,CNRFC
NBBC1,8062451,8060079,8062451, ,CNRFC
JOVU1,4877487,4876219,4877545, ,CBRFC
ELLU1,4876063,4875263,4876063, ,CBRFC
VEGC2,3180780,3180118,3181278,VEGA RESERVOIR NEAR COLLBRAN CO,CBRFC
RRGC2,3175298,3174852,3175958, ,CBRFC
REPN1,19043517,19040443,19043517,Harlan Reservoir at Republican River,MBRFC
STAU1,11966427,11965847,11967775, ,CBRFC
STIU1,11964915,11964599,0,STRAWBERRY - STRAWBERRY RESERVOIR- SOLDIER SPRINGS,CBRFC
UTLU1,10329217,10327875,10329101,Jordan - Utah Lake- Provo,CBRFC
GPDN1,11761568,11758154,11761566,Gavins Point Dam at Missouri River,MBRFC
BIGW4,18301696,18300278,18303140, ,CBRFC
VIVW4,3192982,3192800,0,Hams Fork below Viva Naughton Reservoir,CBRFC
