gage,gagedFlowline,NHDWaterbodyComID,lakeLink,SiteName,RFC
COEI1,24379413,23016890,24379413,Coeur d&#039;Alene at Lake Coeur d'Alene,NWRFC
CABI1,22975980,22983738,,CLARK FORK-CABINET GORGE DAM,NWRFC
RODW1,24255291,24260289,24255291,ROSS RESERVOIR NEAR NEWHALEM WA,NWRFC
SHAW1,24255877,24260837,25184464,Concrete at Baker River,NWRFC
UBDW1,24255915,24260671,24255915,,NWRFC
SNOA2,XXXXXX,15243900,xxxxxx,Snow River,APRFC
SKLA2,XXXXXX,15266110,xxxxxx,Skilak River,APRFC
GGRT1,18432917,22134539,18432921,GREAT FALLS DAM NEAR ROCK ISLAND,LMRFC
RDTA4,21999712,15237526,15237620,Ouachita River at Remmel Dam above Jones Mill AR,LMRFC
KYDK2,10575371,120052349,10575371,Tennessee River at Kentucky Lake Pool,LMRFC
FLDT1,22134009,166997493,22134007,Tennessee River at Ft Loudoun Dam Lenoir City 1E,LMRFC
PICT1,19578817,19598582,25314235,Tennessee River at Pickwick Dam Tailwater,LMRFC
MHDT1,14644171,120052841,14644171,Clinch River above Melton Hill Dam,LMRFC
GVDA1,25311913,167182204,25311913,Tennessee River below Guntersville Dam,LMRFC
LDBL1,15226990,15222888,15223068,Lake DArbonne at Bayou DArbonne,LMRFC
CKDT1,25309298,166997575,25309298,Tennesse River at Chickamauga Dam,LMRFC
WLSA1,19633474,166997604,19633480,WILSON LOCK DAM TAILWATER NEAR FLORENCE 2E,LMRFC
TDTT1,22134049,936010061,19720259,L TENN TELLICO DAM,LMRFC
WBOT1,22134501,166997494,22134453,Tennessee River at Watts Bar Dam,LMRFC
NVXN6,4147432,4146742,4148038,NEVERSINK RIVER AT NEVERSINK NY,MARFC
RVRC3,6111421,6106841,6107211,WEST BRANCH FARMINGTON RIVER AT RIVERTON CT,NERFC
MCKO3,23648272,23655210,23648274,MCKAY RESERVOIR NEAR PENDLETON,NWRFC
LGRW1,24282032,24284232,24282042,NISQUALLY RIVER AT LA GRANDE Alder lake,NWRFC
DEXO3,23751830,23756168,23751844,Dexter Dam Lake MIDDLE FORK WILLAMETTE RIVER NEAR DEXTER OR,NWRFC
CDRW1,24537944,24539838,24537962,Cedar River At Cedar Falls,NWRFC
GPRO3,23785925,23788951,23785925,Quartzville Creek at Green Peter Reservoir,NWRFC
MILI1,24491294,24500352,24495672,Snake River near Milner below Milner Dam ,NWRFC
BWMI1,23250977,120053985,947040096,Big Wood River below Magic Dam,NWRFC
BULO3,24150401,24152927,24150401,BULLY CREEK RESERVOIR NEAR VALE,NWRFC
OGCN2,23320100,23326906,23320108,Owyhee River near Wildhorse,NWRFC
CGRO3,23773009,23777431,23773011,Cougar Dam below South Fork McKenzie River,NWRFC
WYNW1,23856921,23859017,23856923,WYNOOCHEE RIVER NEAR GRISDALE WA,NWRFC
STOW1,23970763,23974227,23970765,SOUTH FORK TOLT RIVER NEAR CARNATION WA,NWRFC
WODI1,23266994,23272336,23267042,Little Wood River near Carey Little Wood River Dam,NWRFC
PHLO3,24208367,24215523,24208369,Phillips Lake,NWRFC
BEUO3,23412937,23422703,23412939,NORTH FORK MALHEUR RIVER NEAR BEULAH,NWRFC
KERM8,24338704,120054065,24338704,Polson at Flathead Lake,NWRFC
OCHO3,23713982,23717064,23713984,Ochoco Creek Below Ochoco Dam,NWRFC
KBDM8,22878293,22886855,22878297,Libby Dam near Libby below Kootenai River,NWRFC
PSLI1,22988683,22992347,22988683,Priest Lake at Outlet near Coolin,NWRFC
ANDI1,23386379,23393893,23387319,South Fork Boise River below Anderson Ranch Dam Idaho,NWRFC
BUMW1,24423019,24428511,24423025,Bumping Dam below Bumping River,NWRFC
BCLO3,23780511,23783629,23780525,Detroit Lake at N Santiam River,NWRFC
KACW1,24126097,24136753,24126101,Kachess Outflow at Yakima River,NWRFC
SLKW1,23963709,23966965,23963711,SPADA LAKE,NWRFC
