OBJECTID,ID,Name___Nom,Latitude,Longitude,Prov_Terr,Timezone___Fuseau_horaire,HydroID2,NEAR_FID,NEAR_DIST
46,02CF010,ONAPING RIVER NEAR LEVACK,46.599449999999997,-81.381940000000000,ON,UTC-05:00,41010845,10850,0.000000000229032
47,02CF011,VERMILLION RIVER NEAR VAL CARON,46.685440000000000,-81.009249999999994,ON,UTC-05:00,41009936,9941,0.000000002344198
48,02CF012,JUNCTION CREEK BELOW KELLEY LAKE,46.427500000000002,-81.098339999999993,ON,UTC-05:00,41012273,12278,0.000000000245030
49,02CF013,MOOSE CREEK AT LEVACK,46.635829999999999,-81.391390000000001,ON,UTC-05:00,41010391,10396,0.000000002334351
50,02CF014,VERMILLION RIVER NEAR MILNET,46.819440000000000,-80.957139999999995,ON,UTC-05:00,41008966,8971,0.000000000612597
51,02CG003,BLUE JAY CREEK NEAR TEHKUMMAH,45.651670000000003,-81.986599999999996,ON,UTC-05:00,41000446,449,0.000000000373549
55,02DB005,WANAPITEI RIVER NEAR WANUP,46.345550000000003,-80.839449999999999,ON,UTC-05:00,41012718,12723,0.000000001685540
56,02DB007,CONISTON CREEK ABOVE WANAPITEI RIVER,46.475279999999998,-80.821659999999994,ON,UTC-05:00,41011616,11621,0.000000000146239
57,02DC004,STURGEON RIVER NEAR GLEN AFTON,46.637219999999999,-80.263339999999999,ON,UTC-05:00,41010118,10123,0.000000003634348
58,02DC012,STURGEON RIVER AT UPPER GOOSE FALLS,46.971390000000000,-80.463329999999999,ON,UTC-05:00,41007693,7698,0.000000001677848
59,02DC013,LITTLE STURGEON RIVER BELOW BOOTH LAKE,46.427610000000001,-79.662030000000001,ON,UTC-05:00,41011688,11693,0.000000000319030
61,02DD010,FRENCH RIVER AT DRY PINE BAY,46.068610000000000,-80.611660000000001,ON,UTC-05:00,41014635,14640,0.000000000440461
62,02DD012,VEUVE RIVER at VERNER,46.408250000000002,-80.123300000000000,ON,UTC-05:00,41011936,11941,0.000000000201140
63,02DD013,LA VASE RIVER AT NORTH BAY,46.263330000000003,-79.394999999999996,ON,UTC-05:00,41012827,12832,0.000000000238242
64,02DD014,CHIPPEWA CREEK AT NORTH BAY,46.311669999999999,-79.448329999999999,ON,UTC-05:00,41012564,12569,0.000000000473163
65,02DD015,COMMANDA CREEK NEAR COMMANDA,45.949170000000002,-79.606669999999994,ON,UTC-05:00,41014966,14971,0.000000000798938
