Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,sm_profile_0.4m,sm_profile_1m,sm_profile_2m,rainmelt
0,2020-01-01 00:00:00,0.000000000,0.194458040,0.211643601,0.214009065,0.219175223,0.229429116,0.000000000
1,2020-01-01 01:00:00,0.000000000,0.194464487,0.211590198,0.213952580,0.219111511,0.229348869,0.000000000
2,2020-01-01 02:00:00,0.000000000,0.194469601,0.211547800,0.213907739,0.219060939,0.229285188,0.000000000
3,2020-01-01 03:00:00,0.000000000,0.194474475,0.211507357,0.213864966,0.219012705,0.229224465,0.000000000
4,2020-01-01 04:00:00,0.000000000,0.194478701,0.211472265,0.213827854,0.218970858,0.229171795,0.000000000
5,2020-01-01 05:00:00,0.000000000,0.194482383,0.211441666,0.213795495,0.218934374,0.229125882,0.000000000
6,2020-01-01 06:00:00,0.000000000,0.194486156,0.211410292,0.213762318,0.218896970,0.229078821,0.000000000
7,2020-01-01 07:00:00,0.000000000,0.194489721,0.211380635,0.213730957,0.218861617,0.229034346,0.000000000
8,2020-01-01 08:00:00,0.000000000,0.194493051,0.211352915,0.213701646,0.218828577,0.228992789,0.000000000
9,2020-01-01 09:00:00,0.000000000,0.194496539,0.211323856,0.213670919,0.218793943,0.228949234,0.000000000
10,2020-01-01 10:00:00,0.000000000,0.194500032,0.211294745,0.213640138,0.218759252,0.228905613,0.000000000
11,2020-01-01 11:00:00,0.000000000,0.194503085,0.211269287,0.213613222,0.218728917,0.228867477,0.000000000
12,2020-01-01 12:00:00,0.000000000,0.194506182,0.211243449,0.213585904,0.218698132,0.228828779,0.000000000
13,2020-01-01 13:00:00,0.000000000,0.194510326,0.211208859,0.213549334,0.218656924,0.228776988,0.000000000
14,2020-01-01 14:00:00,0.000000000,0.194515738,0.211163638,0.213501525,0.218603057,0.228709303,0.000000000
15,2020-01-01 15:00:00,0.000000000,0.194522655,0.211105795,0.213440377,0.218534170,0.228622768,0.000000000
16,2020-01-01 16:00:00,0.000000000,0.194530536,0.211039800,0.213370616,0.218455591,0.228524094,0.000000000
17,2020-01-01 17:00:00,0.000000000,0.194539387,0.210965578,0.213292164,0.218367239,0.228413188,0.000000000
18,2020-01-01 18:00:00,0.000000000,0.194549907,0.210877222,0.213198780,0.218262092,0.228281260,0.000000000
19,2020-01-01 19:00:00,0.000000000,0.194561041,0.210783543,0.213099780,0.218150647,0.228141500,0.000000000
20,2020-01-01 20:00:00,0.000000000,0.194572380,0.210687953,0.212998772,0.218036967,0.227999012,0.000000000
21,2020-01-01 21:00:00,0.000000000,0.194577838,0.210641874,0.212950084,0.217982181,0.227930368,0.000000000
22,2020-01-01 22:00:00,0.000000000,0.194582586,0.210601759,0.212907700,0.217934495,0.227870634,0.000000000
23,2020-01-01 23:00:00,0.000000000,0.194586751,0.210566543,0.212870495,0.217892637,0.227818212,0.000000000
24,2020-01-02 00:00:00,0.000000000,0.194590499,0.210534830,0.212836991,0.217854948,0.227771019,0.000000000
25,2020-01-02 01:00:00,0.000000000,0.194593892,0.210506104,0.212806643,0.217820811,0.227728282,0.000000000
26,2020-01-02 02:00:00,0.000000000,0.194596906,0.210480568,0.212779667,0.217790469,0.227690301,0.000000000
