Time Step,Time,SWE_mm,sm_frac_0.4m,sm_profile_0.1m,sm_profile_0.4m,sm_profile_1m,sm_profile_2m,rainmelt
0,2020-01-01 00:00:00,0.000000000,0.194458040,0.211643601,0.214009065,0.219175223,0.229429116,0.000000000
1,2020-01-01 01:00:00,0.000000000,0.194465052,0.211585516,0.213947629,0.219105927,0.229341836,0.000000000
2,2020-01-01 02:00:00,0.000000000,0.194470700,0.211538682,0.213898096,0.219050064,0.229271496,0.000000000
3,2020-01-01 03:00:00,0.000000000,0.194475812,0.211496252,0.213853221,0.218999462,0.229207795,0.000000000
4,2020-01-01 04:00:00,0.000000000,0.194480192,0.211459870,0.213814746,0.218956080,0.229153196,0.000000000
5,2020-01-01 05:00:00,0.000000000,0.194484524,0.211423867,0.213776673,0.218913154,0.229099182,0.000000000
6,2020-01-01 06:00:00,0.000000000,0.194488848,0.211387897,0.213738636,0.218870274,0.229045236,0.000000000
7,2020-01-01 07:00:00,0.000000000,0.194492624,0.211356465,0.213705399,0.218832808,0.228998110,0.000000000
8,2020-01-01 08:00:00,0.000000000,0.194495958,0.211328700,0.213676041,0.218799716,0.228956493,0.000000000
9,2020-01-01 09:00:00,0.000000000,0.194499031,0.211303094,0.213648966,0.218769201,0.228918122,0.000000000
10,2020-01-01 10:00:00,0.000000000,0.194502246,0.211276290,0.213620626,0.218737261,0.228877966,0.000000000
11,2020-01-01 11:00:00,0.000000000,0.194505191,0.211251723,0.213594651,0.218707989,0.228841169,0.000000000
12,2020-01-01 12:00:00,0.000000000,0.194508212,0.211226508,0.213567993,0.218677949,0.228803411,0.000000000
13,2020-01-01 13:00:00,0.000000000,0.194512427,0.211191307,0.213530777,0.218636015,0.228750714,0.000000000
14,2020-01-01 14:00:00,0.000000000,0.194517901,0.211145555,0.213482409,0.218581521,0.228682246,0.000000000
15,2020-01-01 15:00:00,0.000000000,0.194524276,0.211092221,0.213426028,0.218518006,0.228602468,0.000000000
16,2020-01-01 16:00:00,0.000000000,0.194531120,0.211034902,0.213365438,0.218449760,0.228516772,0.000000000
17,2020-01-01 17:00:00,0.000000000,0.194538282,0.210974851,0.213301965,0.218378276,0.228427040,0.000000000
18,2020-01-01 18:00:00,0.000000000,0.194546037,0.210909742,0.213233150,0.218300788,0.228329805,0.000000000
19,2020-01-01 19:00:00,0.000000000,0.194553430,0.210847602,0.213167476,0.218226850,0.228237057,0.000000000
20,2020-01-01 20:00:00,0.000000000,0.194559753,0.210794388,0.213111241,0.218163546,0.228157674,0.000000000
21,2020-01-01 21:00:00,0.000000000,0.194564421,0.210755065,0.213069687,0.218116775,0.228099037,0.000000000
22,2020-01-01 22:00:00,0.000000000,0.194568738,0.210718676,0.213031235,0.218073500,0.228044794,0.000000000
23,2020-01-01 23:00:00,0.000000000,0.194572531,0.210686679,0.212997425,0.218035452,0.227997113,0.000000000
24,2020-01-02 00:00:00,0.000000000,0.194576157,0.210656072,0.212965086,0.217999062,0.227951517,0.000000000
25,2020-01-02 01:00:00,0.000000000,0.194579640,0.210626653,0.212934002,0.217964087,0.227907701,0.000000000
26,2020-01-02 02:00:00,0.000000000,0.194582705,0.210600757,0.212906642,0.217933304,0.227869142,0.000000000
27,2020-01-02 03:00:00,0.000000000,0.194586077,0.210572242,0.212876515,0.217899410,0.227826694,0.000000000
28,2020-01-02 04:00:00,0.000000000,0.194588882,0.210548517,0.212851450,0.217871213,0.227791385,0.000000000
29,2020-01-02 05:00:00,0.000000000,0.194591529,0.210526110,0.212827778,0.217844585,0.227758044,0.000000000
30,2020-01-02 06:00:00,0.000000000,0.194593905,0.210505992,0.212806524,0.217820678,0.227728115,0.000000000
